name,organisation,type,start_date,end_date,description
Fuksispektaakkeli,inkubio,group,2021-01-15,2021-03-06,"Fuksien perinteinen esitys osana Apoptoosin ohjelmaa. Neljän hengen tiimin voimin työstetty."
ISO,inkubio,functionary,2021-08-01,2022-05-01,
Opinto-ISO,inkubio,functionary,2022-08-01,2023-05-01,
N-ISO,inkubio,functionary,2024-08-01,2027-05-01,
Rekombionaatiotoimari,inkubio,functionary,2022-01-01,2022-12-31,
Lukkari,inkubio,functionary,2022-01-01,2024-12-31,
Lukkari,inkubio,functionary,2026-01-01,2026-12-31,
KV-toimari,inkubio,functionary,2022-01-01,2022-12-31,
Fuksikapteeni,inkubio,functionary,2023-01-01,2024-05-01,
Häirintäyhdyshenkilö,inkubio,functionary,2023-01-01,2024-12-31,
Päätoimittaja,inkubio,functionary,2024-01-01,2024-12-31,
Puheenjohtaja,inkubio,functionary,2025-01-01,2025-12-31,
Akateeminen komitea (ELEC),ayy,group,2025-01-01,2025-12-31,
LifeTech Programme committee,ayy,group,2025-01-01,2025-12-31,
LifeTech Programme committee,ayy,group,2026-01-01,2026-12-31,"Varajäsen."
Bioinformaatioteknologian kandidaattiohjelman koulutusneuvosto,ayy,group,2026-01-01,2026-12-31,
Apoptoosi XXI -toimari,inkubio,functionary,2024-06-01,2025-03-07,
Spagukastike,inkubio,functionary,2025-01-01,2026-12-31,
Killan edustaja TK:ssa,teekkarius,functionary,2025-01-01,2026-12-31,
Laulukirjatoimikunnan PJ,inkubio,functionary,2026-01-01,2027-03-01,
Arkistonhoitaja,inkubio,functionary,2026-01-01,2026-12-31,
Mentori,inkubio,functionary,2026-01-01,2027-12-31,
HV-maisteri,inkubio,functionary,2026-01-01,2026-12-31,
A.N.K.K.U.R.I.,inkubio,functionary,2026-01-01,2026-12-31,
JTMK,ayy,group,2022-01-01,2022-12-31,
Museotoimikunta,ayy,group,2025-01-01,2025-12-31,"Opas."
Museojaosto,ayy,group,2026-01-01,2026-12-31,"Fuksikierrokset."
Tuutori,ho,functionary,2025-03-01,2025-12-06,
Toimittaja-taittaja,ho,functionary,2025-01-01,2025-12-31,
Päätoimittaja,ho,functionary,2026-01-01,2026-12-31,
Kesäisäntä,ho,funktionary,2026-08-01,2026-08-31,
Hallitus,mafia,group,2022-08-01,2023-07-31,
Hallitus,mafia,group,2024-08-01,2025-07-31,"VPJ."
Puheenjohtaja,iw,functionary,2025-06-01,2026-07-31,
Apuohjaaja,tspeksi,functionary,2022-10-01,2023-05-01,
Sanoittaja,tspeksi,functionary,2023-10-01,2024-05-01,
Sanoittaja,tspeksi,functionary,2024-10-01,2025-05-01,
Jotain pientä,tspeksi,group,2025-10-01,2026-05-01,
Kääntäjä,fspeksi,functionary,2023-06-01,2023-10-31,
Kultainen ansiomerkki,inkubio,decoration,2026-03-07,,
